STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-CLDH-NORMAL,HLY-CLOD-PCTBKN,HLY-CLOD-PCTCLR,HLY-CLOD-PCTFEW,HLY-CLOD-PCTOVC,HLY-CLOD-PCTSCT,HLY-DEWP-10PCTL,HLY-DEWP-90PCTL,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-HTDH-NORMAL,HLY-PRES-10PCTL,HLY-PRES-90PCTL,HLY-PRES-NORMAL,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-2NDDIR,HLY-WIND-2NDPCT,HLY-WIND-AVGSPD,HLY-WIND-PCTCLM,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T01:00:00,-777.7,157,365,119,258,101,32,54,43.5,52.9,12.1,1,1,1,48,59,52.9,52.7,1,138,8,128,3.7,391,41,0.6
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T02:00:00,-777.7,156,381,122,268,73,30.9,54,43,52.2,12.8,1,1,1,46.9,57.9,52.2,51.9,1,160,8,130,3.8,401,4,0.7
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T03:00:00,-777.7,140,373,127,274,86,30,54,42.4,51.7,13.4,1,1,1,46,57.9,51.7,51.2,1,162,3,114,3.7,402,16,0.8
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T04:00:00,-777.7,158,373,121,268,80,28.9,53.1,41.8,51.2,13.8,1,1,1,45,57.9,51.2,50.8,1,159,8,130,3.7,402,11,0.8
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T05:00:00,-777.7,174,377,107,267,75,28.9,53.1,41.3,50.7,14.3,1,1,1,44.1,57,50.7,50.3,1,152,8,114,3.3,473,32,0.7
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T06:00:00,-777.7,153,349,151,264,83,28,53.1,40.9,50.4,14.6,1,1,1,44.1,57,50.4,50,1,135,8,125,3.4,464,44,0.7
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T07:00:00,-777.7,221,209,149,282,140,27,53.1,40.3,50.5,14.5,1,1,1,44.6,57.9,50.5,50,1,148,8,123,3.7,418,57,0.9
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T08:00:00,-777.7,250,230,166,259,95,27,53.1,40.6,52.1,12.9,1,1,1,46.9,57.9,52.1,51.8,8,135,1,123,3.8,398,89,0.4
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T09:00:00,-777.7,251,237,160,262,90,28.9,54,41.4,55.8,9.2,1,1,1,51.1,60.1,55.8,55.7,8,163,4,136,4.4,318,192,0.9
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T10:00:00,0.2,234,228,163,260,115,28,54,41.5,58.9,6.3,1,1,1,54,64,58.9,58.9,5,218,8,158,5.3,238,220,1.5
USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831,4.6,01-01T11:00:00,0.8,247,224,161,240,128,26.1,54,41.4,61.5,4.2,1,1,1,55.9,68,61.5,61.5,5,223,8,223,6.4,120,240,2.7
